Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail,Веб-сайт 1,Веб-сайт 2,Instagram,Facebook,ВКонтакте,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber,Telegram 1,Telegram 2,YouTube,Широта,Долгота,2GIS URL,Тип
Kogut.academy,компания,Курсы робототехники; Обучение бизнес-профессиям; Профессиональная переподготовка / Повышение квалификации,"улица Казыбек би, 50",89 офис,050000,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00 (по предварительной записи),+05:00,,,,,,,http://kogut.academy,,,,,https://wa.me/77074645603,,,,,,,43.256435,76.945535,https://2gis.com/firm/70000001080067288,branch
LEAS,учебный центр,Курсы робототехники; Центры раннего развития детей; Компьютерные курсы; Детские / подростковые клубы,"улица Каныша Сатпаева, 90/71",,050046,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00; Сб: 10:00-19:00; Вс: 10:00-19:00,+05:00,4.9,1,87772367070,,,leas.almaty@gmail.com,http://www.leas.kz,,https://instagram.com/leas.kz,https://facebook.com/leas.kz,,https://wa.me/77772367070,,,,,,,43.230184,76.88203,https://2gis.com/firm/70000001091449205,branch
LEAS,учебный центр,Курсы робототехники; Центры раннего развития детей; Компьютерные курсы; Детские / подростковые клубы,"улица Кашгарская, 77",1 этаж,050022,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00; Сб: 10:00-19:00; Вс: 10:00-19:00,+05:00,4.2,15,87770256161,,,leas.almaty@gmail.com,http://www.leas.kz,,https://instagram.com/leas.kz,https://facebook.com/leas.kz,,,,,,,,,43.239997,76.928896,https://2gis.com/firm/70000001051413683,branch
Lessons.kz,учебный центр,Курсы робототехники; Помощь в обучении; Детские / подростковые клубы; Центры дистанционного обучения; Компьютерные курсы,"проспект Назарбаева, 175",201 офис; 2 этаж,050000,,Алмалинский район,Алматы,,Алматы,Казахстан,Вт: 11:00-19:30; Ср: 11:00-19:30; Чт: 11:00-19:30; Пт: 11:00-19:30; Сб: 11:00-19:30,+05:00,4.8,44,87771505151,87015377667,,,http://lessons.kz,,https://instagram.com/lessons.kz,https://facebook.com/lessonskz,,https://wa.me/77771505151,,,,https://t.me/lessonskz,,https://youtube.com/channel/UCkOKWSrG_8IckeTWMv867ng,43.244058,76.947674,https://2gis.com/firm/9429940001141513,branch
Lola`s centre,образовательный центр,Курсы робототехники; Языковые школы; Помощь в обучении; Центры раннего развития детей,"проспект Серкебаева, 56",,050060,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 09:00-20:00; Вт: 09:00-20:00; Ср: 09:00-20:00; Чт: 09:00-20:00; Пт: 09:00-20:00; Сб: 09:00-20:00,+05:00,5.0,7,87051344666,,,,,,,,,https://wa.me/77051344666,,,,https://t.me/+77051344666,,,43.213279,76.898257,https://2gis.com/firm/70000001041492322,branch
Loop-IT,школа программирования,Курсы робототехники; Компьютерные курсы; Разработка / продвижение сайтов,"улица Алии Молдагуловой, 3а",2 этаж,,,,Каскелен,Карасайский район,Алматинская область,Казахстан,"Пн: 10:00-13:00, 14:00-18:00; Вт: 10:00-13:00, 14:00-18:00; Ср: 10:00-13:00, 14:00-18:00; Чт: 10:00-13:00, 14:00-18:00; Сб: 10:00-13:00, 14:00-18:00; Вс: 10:00-13:00, 14:00-18:00",+05:00,5.0,29,,,,,,,https://instagram.com/itloop.kz,,,https://wa.me/77084130827,,,,,,,43.199207,76.632617,https://2gis.com/firm/70000001079804863,branch
Oisana,образовательный центр,Курсы робототехники; Помощь в обучении; Языковые школы; Центры раннего развития детей; Детские лагеря,"улица Байкадамова, 2д",1 этаж,050060,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 08:00-19:00; Вт: 08:00-19:00; Ср: 08:00-19:00; Чт: 08:00-19:00; Пт: 08:00-19:00,+05:00,4.9,52,87007750540,,,oisana@inbox.ru,http://oisana.kz,,https://instagram.com/oisana.kz,https://facebook.com/oisana.kz,,https://wa.me/77007750540,,,,,,https://youtube.com/@oisanaeducation3373,43.213783,76.899749,https://2gis.com/firm/70000001031953771,branch
Pro IT Academy KZ,школа робототехники и программирования,Курсы робототехники,"улица Мустай Карим, 13а",возле Citeen Style,050052,Таугуль м-н,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 10:00-18:00; Вт: 10:00-18:00; Ср: 10:00-18:00; Чт: 10:00-18:00; Пт: 10:00-18:00; Сб: 10:00-18:00; Вс: 10:00-18:00 (по предварительному звонку),+05:00,4.1,7,87474090081,,,,,,https://instagram.com/pro_it_academy_kz,,,https://wa.me/77474090081,,,,https://t.me/+77474090081,,,43.210013,76.858918,https://2gis.com/firm/70000001080551263,branch
Prokid,школа робототехники,Курсы робототехники,"улица Утеген батыра, 102а",1 этаж,050062,,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00; Сб: 09:00-18:00,+05:00,4.6,5,87712180926,,,,,,https://instagram.com/prokid.kz,,,https://wa.me/77712180926,,,,https://t.me/+77712180926,,,43.240317,76.862241,https://2gis.com/firm/70000001062591200,branch
Prorobot.kz,,Курсы робототехники,"микрорайон Тулпар, 3",2 этаж,050006,Калкаман м-н,Наурызбайский район,Алматы,,Алматы,Казахстан,Пн: 09:00-19:00; Вт: 09:00-19:00; Ср: 09:00-19:00; Чт: 09:00-19:00; Пт: 09:00-19:00; Вс: 09:00-19:00,+05:00,5.0,13,87774416312,87006930638,,,,,https://instagram.com/prorobot.kz,,,https://wa.me/77774416312,https://wa.me/77006930638,,,,,,43.232366,76.797066,https://2gis.com/firm/70000001086732986,branch
Rio,детский центр,Курсы робототехники; Центры раннего развития детей; Детские / подростковые клубы,"улица Байзакова, 291",513 офис; 5 этаж,050008,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00,+05:00,5.0,2,,,,,,,https://instagram.com/rio_playcenter,,,,,,,,,,43.238497,76.914105,https://2gis.com/firm/70000001032562351,branch
Robbo club,"клуб робототехники, программирования и 3d-печати",Курсы робототехники; Помощь в обучении; Компьютерные курсы,"улица Карасай батыра, 162/1",,050026,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00; Сб: 10:00-19:00,+05:00,5.0,20,87057747772,,,,http://club.robbo.world/almaty,,https://instagram.com/robbo_almaty,,,https://wa.me/77057747772,,,,,,,43.248339,76.903701,https://2gis.com/firm/70000001081680934,branch
RoboLab,школа робототехники,Курсы робототехники,"проспект Аль-Фараби, 140а/2",,050044,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+05:00,3.0,2,,,,,http://drone.kz/robotics/,,,,,,,,,,,,43.211985,76.92135,https://2gis.com/firm/70000001069166273,branch
Robotech ,учебный центр,Курсы робототехники,"улица Жумалиева, 55",5 офис; 2 этаж,050026,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00 (по предварительной записи),+05:00,,,87773377784,,,,,,,,,https://wa.me/77773377784,,,,,,,43.256674,76.912156,https://2gis.com/firm/70000001094773896,branch
Robotique,школа робототехники и программирования для детей,Курсы робототехники; Компьютерные курсы,"улица Кунаева, 166а",,041604,,,Талгар,Талгарский район,Алматинская область,Казахстан,Сб: 10:00-15:00; Вс: 10:00-15:00,+05:00,5.0,1,87751466336,,,,,,https://instagram.com/robotiq_ue,,,https://wa.me/77751466336,,,,,,,43.303931,77.221416,https://2gis.com/firm/70000001046507168,branch
Rolab Academy,школа робототехники и программирования,Курсы робототехники; Компьютерные курсы,"улица Кабанбай батыра, 164",,050012,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 11:00-19:00; Вт: 11:00-19:00; Ср: 11:00-19:00; Чт: 11:00-19:00; Пт: 11:00-19:00; Сб: 11:00-13:00; Вс: 11:00-13:00,+05:00,0.0,1,87023391998,,,,http://rolab.kz,,https://instagram.com/rolab.academy,,,https://wa.me/77023391998,,,,https://t.me/rolabacademy,,https://youtube.com/@rolab.academy,43.24792,76.922681,https://2gis.com/firm/70000001090747822,branch
Safinur,образовательный центр,Курсы робототехники; Детские / подростковые клубы; Центры раннего развития детей; Художественные мастерские; Помощь в обучении,"улица Попова, 19","300, 302-303 офис; 3 этаж",050040,,Бостандыкский район,Алматы,,Алматы,Казахстан,"Пн: 10:00-13:00, 14:00-19:00; Вт: 10:00-13:00, 14:00-19:00; Ср: 10:00-13:00, 14:00-19:00; Чт: 10:00-13:00, 14:00-19:00; Пт: 10:00-13:00, 14:00-19:00; Сб: 10:00-13:00, 14:00-19:00; Вс: 10:00-13:00, 14:00-19:00",+05:00,5.0,5,87016183818,,,,,,,,,,,,,,,,43.225407,76.932067,https://2gis.com/firm/70000001062665876,branch
Sankids,образовательный центр,Курсы робототехники; Языковые школы; Помощь в обучении; Центры раннего развития детей; Детские / подростковые клубы,"улица Утепова, 19а",304-305 кабинет; 3 этаж,050060,,Бостандыкский район,Алматы,,Алматы,Казахстан,"Пн: 09:30-12:00, 14:00-19:00; Вт: 09:30-12:00, 14:00-19:00; Ср: 09:30-12:00, 14:00-19:00; Чт: 09:30-12:00, 14:00-19:00; Пт: 09:30-12:00, 14:00-19:00",+05:00,5.0,27,87078399552,,,,,,https://instagram.com/sankids.edu2,,https://vk.com/sankidsalmaty,https://wa.me/77078399552,,,,,,https://youtube.com/SANKIDS,43.219735,76.895871,https://2gis.com/firm/70000001030918387,branch
Sensory kids,детский центр,Курсы робототехники; Детские / подростковые клубы; Театральные курсы,"проспект Сейфуллина, 498",508 офис; 5 этаж,050012,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 08:00-18:00; Вт: 08:00-18:00; Ср: 08:00-18:00; Чт: 08:00-18:00; Пт: 08:00-18:00; Сб: 08:00-18:00 (по предварительному звонку),+05:00,4.2,5,87082914259,87768786520,,,,,https://instagram.com/sensorykids_kz,,,https://wa.me/77082914259,,,,,,,43.251594,76.933833,https://2gis.com/firm/70000001068010841,branch
